KiCad_X_mm,KiCad_Y_mm,Nominal_pre_fill_bore_mm,Copper_land_mm,Net,UUID,Required_finish
64.2,31.2,0.2,0.45,/FLASH_CS,bd0778dd-bdaf-4e47-9eef-061b403999fa,"IPC-4761 Type VII nonconductive epoxy filled, planarized, copper capped both sides"
54.291,34.2322,0.2,0.45,/FLASH_CS,ca601a9f-d97e-4b64-b487-b306b194e092,"IPC-4761 Type VII nonconductive epoxy filled, planarized, copper capped both sides"
51.0,32.5,0.2,0.45,/FLASH_IO2,0c7514ad-79dd-47ab-a25a-545e497adef4,"IPC-4761 Type VII nonconductive epoxy filled, planarized, copper capped both sides"
59.4,32.5,0.2,0.45,/FLASH_IO2,66102c66-fa94-4d6e-8afb-693945ce4df8,"IPC-4761 Type VII nonconductive epoxy filled, planarized, copper capped both sides"
45.3853,29.1297,0.2,0.45,/FLASH_IO1,6d91743c-5cd4-4907-9af2-04143d365e05,"IPC-4761 Type VII nonconductive epoxy filled, planarized, copper capped both sides"
65.0585,29.8952,0.2,0.45,/FLASH_IO1,ee84f938-a6ce-44cd-95f8-103f3166fccc,"IPC-4761 Type VII nonconductive epoxy filled, planarized, copper capped both sides"
28.8339,34.4516,0.2,0.45,/SWDIO,6ba250a4-9c42-4273-b8bb-10ac543b6402,"IPC-4761 Type VII nonconductive epoxy filled, planarized, copper capped both sides"
53.55,38.35,0.2,0.45,/SWDIO,ba6167f7-49ef-48c8-94b5-77a6c16b5121,"IPC-4761 Type VII nonconductive epoxy filled, planarized, copper capped both sides"
62.7,30.1,0.2,0.45,/SWDIO,c52ca99d-da8c-4e40-b1d5-af1f430ba001,"IPC-4761 Type VII nonconductive epoxy filled, planarized, copper capped both sides"
45.0918,35.6613,0.2,0.45,/SWDIO,d385f34b-30e1-4ff8-9513-fc1f47454069,"IPC-4761 Type VII nonconductive epoxy filled, planarized, copper capped both sides"
64.25,26.5,0.2,0.45,/SWDCLK,a73f4336-7ab2-4a8a-a11a-da89b97bda79,"IPC-4761 Type VII nonconductive epoxy filled, planarized, copper capped both sides"
